2025-10-29 14:44:05 | INFO     | Trying direct fetch for #44 Jannik Schuster (915418) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/915418
2025-10-29 14:44:06 | INFO     | Trying direct fetch for #23 Joane Gadou (1075577) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/1075577
2025-10-29 14:44:06 | INFO     | Trying direct fetch for #2 Jeyland Mitchell (856068) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/856068
2025-10-29 14:44:08 | INFO     | Trying direct fetch for #2 Jacob Rasmussen (283233) -> https://www.transfermarkt.de/leistungsdaten/spieler/283233/saison/ges/
2025-10-29 14:44:14 | INFO     | Trying direct fetch for #44 Jannik Schuster (915418) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/915418
2025-10-29 14:44:15 | INFO     | Trying direct fetch for #2 Jeyland Mitchell (856068) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/856068
2025-10-29 14:44:15 | INFO     | Trying direct fetch for #23 Joane Gadou (1075577) -> https://www.transfermarkt.com/leistungsdaten/spieler/1075577/saison/ges/
2025-10-29 14:44:17 | WARNING  | No valid stats for #2 Jacob Rasmussen (283233)
2025-10-29 14:44:17 | INFO     | Trying direct fetch for #4 John Mellberg (1072724) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/1072724
2025-10-29 14:44:22 | INFO     | Trying direct fetch for #44 Jannik Schuster (915418) -> https://www.transfermarkt.de/leistungsdaten/spieler/915418/saison/ges/
2025-10-29 14:44:24 | INFO     | Trying direct fetch for #23 Joane Gadou (1075577) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/1075577
2025-10-29 14:44:24 | INFO     | Trying direct fetch for #2 Jeyland Mitchell (856068) -> https://www.transfermarkt.de/leistungsdaten/spieler/856068/saison/ges/
2025-10-29 14:44:25 | INFO     | Trying direct fetch for #4 John Mellberg (1072724) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/1072724
2025-10-29 14:44:30 | WARNING  | No valid stats for #44 Jannik Schuster (915418)
2025-10-29 14:44:30 | INFO     | Trying direct fetch for #4 Jon Gorenc Stankovic (245034) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/245034
